bus,time,powerCB,solarPowToB,gridPowToB,mainPowToB,eB
0,0,0.0,0.0,0.0,0.0,445.5
1,0,0.0,0.0,0.0,0.0,445.5
2,0,75.0,0.0,0.0,75.0,445.5
3,0,0.0,0.0,0.0,0.0,445.5
4,0,0.0,0.0,0.0,0.0,445.5
5,0,0.0,0.0,0.0,0.0,445.5
6,0,0.0,0.0,0.0,0.0,445.5
7,0,0.0,0.0,0.0,0.0,445.5
8,0,0.0,0.0,0.0,0.0,445.5
9,0,0.0,0.0,0.0,0.0,445.5
0,1,0.0,0.0,0.0,0.0,445.5
1,1,0.0,0.0,0.0,0.0,445.5
2,1,75.0,0.0,0.0,75.0,463.125
3,1,0.0,0.0,0.0,0.0,445.5
4,1,0.0,0.0,0.0,0.0,445.5
5,1,0.0,0.0,0.0,0.0,445.5
6,1,0.0,0.0,0.0,0.0,445.5
7,1,0.0,0.0,0.0,0.0,445.5
8,1,0.0,0.0,0.0,0.0,445.5
9,1,75.0,0.0,0.0,75.0,445.5
0,2,0.0,0.0,0.0,0.0,445.5
1,2,0.0,0.0,0.0,0.0,445.5
2,2,75.0,0.0,0.0,75.0,480.75
3,2,0.0,0.0,0.0,0.0,445.5
4,2,0.0,0.0,0.0,0.0,445.5
5,2,0.0,0.0,0.0,0.0,445.5
6,2,0.0,0.0,0.0,0.0,445.5
7,2,0.0,0.0,0.0,0.0,445.5
8,2,0.0,0.0,0.0,0.0,445.5
9,2,75.0,0.0,0.0,75.0,463.125
0,3,0.0,0.0,0.0,0.0,445.5
1,3,0.0,0.0,0.0,0.0,445.5
2,3,75.0,0.0,0.0,75.0,498.375
3,3,0.0,0.0,0.0,0.0,445.5
4,3,0.0,0.0,0.0,0.0,445.5
5,3,0.0,0.0,0.0,0.0,445.5
6,3,0.0,0.0,0.0,0.0,445.5
7,3,0.0,0.0,0.0,0.0,445.5
8,3,0.0,0.0,0.0,0.0,445.5
9,3,75.0,0.0,0.0,75.0,480.75
0,4,0.0,0.0,0.0,0.0,445.5
1,4,0.0,0.0,0.0,0.0,445.5
2,4,75.0,0.0,0.0,75.0,516.0
3,4,0.0,0.0,0.0,0.0,445.5
4,4,0.0,0.0,0.0,0.0,445.5
5,4,0.0,0.0,0.0,0.0,445.5
6,4,0.0,0.0,0.0,0.0,445.5
7,4,0.0,0.0,0.0,0.0,445.5
8,4,0.0,0.0,0.0,0.0,445.5
9,4,1.5957446808515476,0.0,0.0,1.5957446808515476,498.375
0,5,0.0,0.0,0.0,0.0,445.5
1,5,0.0,0.0,0.0,0.0,445.5
2,5,75.0,0.0,0.0,75.0,533.625
3,5,0.0,0.0,0.0,0.0,445.5
4,5,0.0,0.0,0.0,0.0,445.5
5,5,0.0,0.0,0.0,0.0,445.5
6,5,0.0,0.0,0.0,0.0,445.5
7,5,0.0,0.0,0.0,0.0,445.5
8,5,0.0,0.0,0.0,0.0,445.5
9,5,0.0,0.0,0.0,0.0,498.7500000000001
0,6,0.0,0.0,0.0,0.0,445.5
1,6,0.0,0.0,0.0,0.0,445.5
2,6,75.0,0.0,0.0,75.0,551.25
3,6,0.0,0.0,0.0,0.0,445.5
4,6,0.0,0.0,0.0,0.0,445.5
5,6,0.0,0.0,0.0,0.0,445.5
6,6,0.0,0.0,0.0,0.0,445.5
7,6,0.0,0.0,0.0,0.0,445.5
8,6,0.0,0.0,0.0,0.0,445.5
9,6,75.0,0.0,0.0,75.0,498.7500000000001
0,7,0.0,0.0,0.0,0.0,445.5
1,7,0.0,0.0,0.0,0.0,445.5
2,7,0.0,0.0,0.0,0.0,568.875
3,7,0.0,0.0,0.0,0.0,445.5
4,7,0.0,0.0,0.0,0.0,445.5
5,7,0.0,0.0,0.0,0.0,445.5
6,7,0.0,0.0,0.0,0.0,445.5
7,7,0.0,0.0,0.0,0.0,445.5
8,7,0.0,0.0,0.0,0.0,445.5
9,7,75.0,0.0,0.0,75.0,516.3750000000001
0,8,0.0,0.0,0.0,0.0,445.5
1,8,0.0,0.0,0.0,0.0,445.5
2,8,75.0,0.0,0.0,75.0,568.875
3,8,0.0,0.0,0.0,0.0,445.5
4,8,0.0,0.0,0.0,0.0,445.5
5,8,0.0,0.0,0.0,0.0,445.5
6,8,0.0,0.0,0.0,0.0,445.5
7,8,0.0,0.0,0.0,0.0,445.5
8,8,0.0,0.0,0.0,0.0,445.5
9,8,75.0,0.0,0.0,75.0,534.0000000000001
0,9,0.0,0.0,0.0,0.0,445.5
1,9,0.0,0.0,0.0,0.0,445.5
2,9,75.0,0.0,0.0,75.0,586.5
3,9,0.0,0.0,0.0,0.0,445.5
4,9,0.0,0.0,0.0,0.0,445.5
5,9,0.0,0.0,0.0,0.0,445.5
6,9,0.0,0.0,0.0,0.0,445.5
7,9,0.0,0.0,0.0,0.0,445.5
8,9,0.0,0.0,0.0,0.0,445.5
9,9,75.0,0.0,0.0,75.0,551.6250000000001
0,10,0.0,0.0,0.0,0.0,445.5
1,10,0.0,0.0,0.0,0.0,445.5
2,10,75.0,0.0,0.0,75.0,604.125
3,10,0.0,0.0,0.0,0.0,445.5
4,10,0.0,0.0,0.0,0.0,445.5
5,10,0.0,0.0,0.0,0.0,445.5
6,10,0.0,0.0,0.0,0.0,445.5
7,10,0.0,0.0,0.0,0.0,445.5
8,10,0.0,0.0,0.0,0.0,445.5
9,10,75.0,0.0,0.0,75.0,569.2500000000001
0,11,0.0,0.0,0.0,0.0,445.5
1,11,0.0,0.0,0.0,0.0,445.5
2,11,0.0,0.0,0.0,0.0,621.75
3,11,0.0,0.0,0.0,0.0,445.5
4,11,0.0,0.0,0.0,0.0,445.5
5,11,0.0,0.0,0.0,0.0,445.5
6,11,0.0,0.0,0.0,0.0,445.5
7,11,0.0,0.0,0.0,0.0,445.5
8,11,0.0,0.0,0.0,0.0,445.5
9,11,75.0,0.0,0.0,75.0,586.8750000000001
0,12,0.0,0.0,0.0,0.0,445.5
1,12,0.0,0.0,0.0,0.0,445.5
2,12,75.0,0.0,0.0,75.0,621.75
3,12,0.0,0.0,0.0,0.0,445.5
4,12,0.0,0.0,0.0,0.0,445.5
5,12,0.0,0.0,0.0,0.0,445.5
6,12,0.0,0.0,0.0,0.0,445.5
7,12,0.0,0.0,0.0,0.0,445.5
8,12,0.0,0.0,0.0,0.0,445.5
9,12,0.0,0.0,0.0,0.0,604.5000000000001
0,13,0.0,0.0,0.0,0.0,445.5
1,13,0.0,0.0,0.0,0.0,445.5
2,13,0.0,0.0,0.0,0.0,639.375
3,13,0.0,0.0,0.0,0.0,445.5
4,13,0.0,0.0,0.0,0.0,445.5
5,13,0.0,0.0,0.0,0.0,445.5
6,13,0.0,0.0,0.0,0.0,445.5
7,13,0.0,0.0,0.0,0.0,445.5
8,13,0.0,0.0,0.0,0.0,445.5
9,13,0.0,0.0,0.0,0.0,604.5000000000001
0,14,0.0,0.0,0.0,0.0,445.5
1,14,0.0,0.0,0.0,0.0,445.5
2,14,0.0,0.0,0.0,0.0,639.375
3,14,0.0,0.0,0.0,0.0,445.5
4,14,0.0,0.0,0.0,0.0,445.5
5,14,0.0,0.0,0.0,0.0,445.5
6,14,0.0,0.0,0.0,0.0,445.5
7,14,0.0,0.0,0.0,0.0,445.5
8,14,0.0,0.0,0.0,0.0,445.5
9,14,0.0,0.0,0.0,0.0,604.5000000000001
0,15,0.0,0.0,0.0,0.0,445.5
1,15,0.0,0.0,0.0,0.0,445.5
2,15,0.0,0.0,0.0,0.0,639.375
3,15,0.0,0.0,0.0,0.0,445.5
4,15,0.0,0.0,0.0,0.0,445.5
5,15,0.0,0.0,0.0,0.0,445.5
6,15,0.0,0.0,0.0,0.0,445.5
7,15,0.0,0.0,0.0,0.0,445.5
